,id,atk,def,level,scale,linkval,views,viewsweek,upvotes,downvotes,konami_id,has_effect
count,14341.0,9219.0,8757.0,8863.0,390.0,464.0,14341.0,14341.0,14341.0,14341.0,14157.0,14341.0
mean,51914879.70831881,1516.2347326174206,1282.825853602832,4.646959268870585,4.256410256410256,2.4504310344827585,167050.03981591243,433.9739209260163,6.247053901401576,1.2562582804546405,11976.073673800947,0.946307788857123
std,38277424.17604178,960.421544125911,883.0123701027858,2.4945966331309846,3.1697311095478446,0.9998487075543298,427141.44134705496,1483.4681247012463,35.26291734204531,6.3497726752890316,5065.717332462418,0.22541717058904961
min,483.0,-1.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,-71.0,0.0
25%,24658418.0,800.0,600.0,3.0,1.0,2.0,33656.0,101.0,1.0,0.0,7865.0,1.0
50%,49684352.0,1500.0,1200.0,4.0,4.0,2.0,71761.0,101.0,3.0,0.0,11629.0,1.0
75%,75047173.0,2200.0,2000.0,6.0,7.0,3.0,168368.0,304.0,6.0,1.0,15342.0,1.0
max,501000007.0,5000.0,5000.0,13.0,13.0,6.0,23535590.0,74343.0,2608.0,533.0,23141.0,1.0
